dataset,cell_id,group,method,max_score,mean_score,label
Dataset2,D2_Qual_3,Qualified,Mahalanobis Distance,10.743928433071186,2.790912929525047,0
Dataset2,D2_Qual_4,Qualified,Mahalanobis Distance,14.893668247600107,2.38449496683529,0
Dataset2,D2_Qual_5,Qualified,Mahalanobis Distance,15.393398315612615,1.7124013325233438,0
Dataset2,D2_Qual_6,Qualified,Mahalanobis Distance,14.85861354391371,1.9888767708236634,0
Dataset2,D2_Qual_7,Qualified,Mahalanobis Distance,15.519532327763288,1.4156644001700378,0
Dataset2,D2_Qual_8,Qualified,Mahalanobis Distance,15.936618184840835,1.57308323530602,0
Dataset2,D2_Qual_9,Qualified,Mahalanobis Distance,13.408461088799331,1.2684450523657451,0
Dataset2,D2_Qual_10,Qualified,Mahalanobis Distance,15.059121321272086,1.592332730332693,0
Dataset2,D2_Qual_11,Qualified,Mahalanobis Distance,12.397040070992622,1.2646742800830892,0
Dataset2,D2_Qual_12,Qualified,Mahalanobis Distance,13.642158324472494,1.3253218667559625,0
Dataset2,D2_Qual_13,Qualified,Mahalanobis Distance,13.015845403594781,1.2233793305811547,0
Dataset2,D2_Qual_14,Qualified,Mahalanobis Distance,14.868590034077915,1.3584325267319508,0
Dataset2,D2_Subseq_15,Subsequent,Mahalanobis Distance,15.168783423403099,3.6053572124542264,1
Dataset2,D2_Subseq_16,Subsequent,Mahalanobis Distance,14.880497190275538,3.1505938450461635,1
Dataset2,D2_Subseq_17,Subsequent,Mahalanobis Distance,17.700259118073543,4.500894233358127,1
Dataset2,D2_Subseq_18,Subsequent,Mahalanobis Distance,11.737886077885573,4.213554075899294,1
Dataset2,D2_Subseq_19,Subsequent,Mahalanobis Distance,16.22485195464544,4.845376017856574,1
Dataset2,D2_Subseq_20,Subsequent,Mahalanobis Distance,21.468958921389685,7.147027176973893,1
Dataset2,D2_Subseq_21,Subsequent,Mahalanobis Distance,18.048372126866944,5.505452960707934,1
Dataset2,D2_Subseq_22,Subsequent,Mahalanobis Distance,15.682310693096365,2.590686585698246,1
Dataset2,D2_Subseq_23,Subsequent,Mahalanobis Distance,15.971782175679639,3.688140003622751,1
Dataset1,D1_Qual_1,Qualified,SPRT,26.821342023622645,2.984697347585956,0
Dataset1,D1_Qual_2,Qualified,SPRT,14.544057247644348,2.0920942608922886,0
Dataset1,D1_Qual_3,Qualified,SPRT,13.904425879900488,1.9746319255922982,0
Dataset1,D1_Qual_4,Qualified,SPRT,32.15006564951666,4.170279870822845,0
Dataset1,D1_Qual_5,Qualified,SPRT,32.140810043398915,3.6118475581379785,0
Dataset1,D1_Qual_6,Qualified,SPRT,49.69373379994238,21.491858945013586,0
Dataset1,D1_Subseq_1,Subsequent,SPRT,645.5463866211297,128.1193873679514,1
Dataset1,D1_Subseq_2,Subsequent,SPRT,513.9956597310635,96.63582087274668,1
Dataset1,D1_Subseq_3,Subsequent,SPRT,277.31793406343274,46.185683687509886,1
Dataset1,D1_Subseq_4,Subsequent,SPRT,190.956970413312,29.770037096955516,1
Dataset1,D1_Subseq_5,Subsequent,SPRT,117.29625386031044,19.2546224081415,1
Dataset1,D1_Subseq_6,Subsequent,SPRT,98.44697846928564,16.371489462154596,1
Dataset2,D2_Qual_1,Qualified,SPRT,26.26584568408909,12.285188362842504,0
Dataset2,D2_Qual_2,Qualified,SPRT,20.74144651653513,3.0527342382039353,0
Dataset2,D2_Qual_3,Qualified,SPRT,55.5597904882005,44.36601192183632,0
Dataset2,D2_Qual_4,Qualified,SPRT,22.132833883891383,3.437627699992477,0
Dataset2,D2_Qual_5,Qualified,SPRT,32.16715476444675,6.331986135928156,0
Dataset2,D2_Qual_6,Qualified,SPRT,33.630482518085714,6.778667692961392,0
Dataset2,D2_Qual_7,Qualified,SPRT,26.83549047377555,4.103167027539175,0
Dataset2,D2_Qual_8,Qualified,SPRT,27.68626558163717,5.202912988182637,0
