dataset,cell_id,group,method,threshold_type,threshold_value,detection_cycle,max_score
Dataset1,D1_Subseq_2,Subsequent,Transformer_AE,mean+2σ,0.1567471,196.0,21.499879837036133
Dataset1,D1_Subseq_2,Subsequent,Transformer_AE,P95,0.16603875,197.0,21.499879837036133
Dataset1,D1_Subseq_3,Subsequent,Transformer_AE,mean+3σ,0.21396059,246.0,5.835081577301025
Dataset1,D1_Subseq_3,Subsequent,Transformer_AE,mean+2σ,0.1567471,245.0,5.835081577301025
Dataset1,D1_Subseq_3,Subsequent,Transformer_AE,P95,0.16603875,245.0,5.835081577301025
Dataset1,D1_Subseq_4,Subsequent,Transformer_AE,mean+3σ,0.21396059,397.0,2.2015857696533203
Dataset1,D1_Subseq_4,Subsequent,Transformer_AE,mean+2σ,0.1567471,317.0,2.2015857696533203
Dataset1,D1_Subseq_4,Subsequent,Transformer_AE,P95,0.16603875,317.0,2.2015857696533203
Dataset1,D1_Subseq_5,Subsequent,Transformer_AE,mean+3σ,0.21396059,396.0,6.740044593811035
Dataset1,D1_Subseq_5,Subsequent,Transformer_AE,mean+2σ,0.1567471,289.0,6.740044593811035
Dataset1,D1_Subseq_5,Subsequent,Transformer_AE,P95,0.16603875,395.0,6.740044593811035
Dataset1,D1_Subseq_6,Subsequent,Transformer_AE,mean+3σ,0.21396059,398.0,0.819074809551239
Dataset1,D1_Subseq_6,Subsequent,Transformer_AE,mean+2σ,0.1567471,396.0,0.819074809551239
Dataset1,D1_Subseq_6,Subsequent,Transformer_AE,P95,0.16603875,397.0,0.819074809551239
Dataset2,D2_Qual_1,Qualified,Transformer_AE,mean+3σ,0.29765,24.0,0.7790035009384155
Dataset2,D2_Qual_1,Qualified,Transformer_AE,mean+2σ,0.21053419,24.0,0.7790035009384155
Dataset2,D2_Qual_1,Qualified,Transformer_AE,P95,0.16304968,19.0,0.7790035009384155
Dataset2,D2_Qual_2,Qualified,Transformer_AE,mean+3σ,0.29765,14.0,0.7107213139533997
Dataset2,D2_Qual_2,Qualified,Transformer_AE,mean+2σ,0.21053419,12.0,0.7107213139533997
Dataset2,D2_Qual_2,Qualified,Transformer_AE,P95,0.16304968,11.0,0.7107213139533997
Dataset2,D2_Qual_3,Qualified,Transformer_AE,mean+3σ,0.29765,11.0,1.2301403284072876
